Accession,replacedaccession,IDs,Country,Host,Year
EF027140.1_India,EF027140.1_India,EF027140.1,India,Unknown,1963
EF027141.1_India,EF027141.1_India,EF027141.1,India,Unknown,1973
EF452493.1_Thailand,EF452493.1_Thailand,EF452493.1,Thailand,Homo_sapiens,NA
EU703759.1_Malaysia,EU703759.1_Malaysia,EU703759.1,Malaysia,Homo_sapiens,2006
EU703760.1_Malaysia,EU703760.1_Malaysia,EU703760.1,Malaysia,Homo_sapiens,2006
EU703761.1_Malaysia,EU703761.1_Malaysia,EU703761.1,Malaysia,Homo_sapiens,2006
FJ807897.1_Indonesia,FJ807897.1_Indonesia,FJ807897.1,Indonesia,Homo_sapiens,2007
HM045787.1_Thailand,HM045787.1_Thailand,HM045787.1,Thailand,Homo_sapiens,1995
HM045788.1_India,HM045788.1_India,HM045788.1,India,Homo_sapiens,1973
HM045789.1_Thailand,HM045789.1_Thailand,HM045789.1,Thailand,Homo_sapiens,1988
HM045790.1_Philippines,HM045790.1_Philippines,HM045790.1,Philippines,Homo_sapiens,1985
HM045791.1_Indonesia,HM045791.1_Indonesia,HM045791.1,Indonesia,Homo_sapiens,1983
HM045796.1_Thailand,HM045796.1_Thailand,HM045796.1,Thailand,Homo_sapiens,1995
HM045797.1_Indonesia,HM045797.1_Indonesia,HM045797.1,Indonesia,Homo_sapiens,1985
HM045800.1_Philippines,HM045800.1_Philippines,HM045800.1,Philippines,Homo_sapiens,1985
HM045802.1_Thailand,HM045802.1_Thailand,HM045802.1,Thailand,Unknown,1995
HM045803.1_India,HM045803.1_India,HM045803.1,India,Homo_sapiens,1963
HM045808.1_Thailand,HM045808.1_Thailand,HM045808.1,Thailand,Homo_sapiens,1978
HM045810.1_Thailand,HM045810.1_Thailand,HM045810.1,Thailand,Homo_sapiens,1958
HM045813.1_India,HM045813.1_India,HM045813.1,India,Homo_sapiens,1963
HM045814.1_Thailand,HM045814.1_Thailand,HM045814.1,Thailand,Homo_sapiens,1975
KC488650.1_China,KC488650.1_China,KC488650.1,China,Homo_sapiens,2012
KF318729.1_China,KF318729.1_China,KF318729.1,China,Homo_sapiens,2012
KJ451622.1_Micronesia,KJ451622.1_Micronesia,KJ451622.1,Micronesia,Homo_sapiens,2013
KJ451623.1_Micronesia,KJ451623.1_Micronesia,KJ451623.1,Micronesia,Homo_sapiens,2013
KJ451624.1_British_Virgin_Islands,KJ451624.1_British_Virgin_Islands,KJ451624.1,British_Virgin_Islands,Homo_sapiens,2014
KJ689452.1_Micronesia,KJ689452.1_Micronesia,KJ689452.1,Micronesia,Unknown,2013
KJ689453.1_Micronesia,KJ689453.1_Micronesia,KJ689453.1,Micronesia,Unknown,2013
KM673291.1_Indonesia,KM673291.1_Indonesia,KM673291.1,Indonesia,Homo_sapiens,2013
KM923917.1_Malaysia,KM923917.1_Malaysia,KM923917.1,Malaysia,Macaca_fascicularis,2007
KM923918.1_Malaysia,KM923918.1_Malaysia,KM923918.1,Malaysia,Macaca_fascicularis,2007
KM923919.1_Malaysia,KM923919.1_Malaysia,KM923919.1,Malaysia,Macaca_fascicularis,2007
KM923920.1_Malaysia,KM923920.1_Malaysia,KM923920.1,Malaysia,Macaca_fascicularis,2007
KP164567.1_Brazil,KP164567.1_Brazil,KP164567.1,Brazil,Homo_sapiens,2014
KP164571.1_Brazil,KP164571.1_Brazil,KP164571.1,Brazil,Homo_sapiens,2014
KP164572.1_Brazil,KP164572.1_Brazil,KP164572.1,Brazil,Homo_sapiens,2014
KP851709.1_Mexico,KP851709.1_Mexico,KP851709.1,Mexico,Homo_sapiens,2014
KP851710.1_Mexico,KP851710.1_Mexico,KP851710.1,Mexico,Homo_sapiens,2014
KR046227.1_Trinidad_and_Tobago,KR046227.1_Trinidad_and_Tobago,KR046227.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046228.1_Trinidad_and_Tobago,KR046228.1_Trinidad_and_Tobago,KR046228.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046229.1_Trinidad_and_Tobago,KR046229.1_Trinidad_and_Tobago,KR046229.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046230.1_Trinidad_and_Tobago,KR046230.1_Trinidad_and_Tobago,KR046230.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046231.1_Trinidad_and_Tobago,KR046231.1_Trinidad_and_Tobago,KR046231.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046232.1_Trinidad_and_Tobago,KR046232.1_Trinidad_and_Tobago,KR046232.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046233.1_Trinidad_and_Tobago,KR046233.1_Trinidad_and_Tobago,KR046233.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR046234.1_Trinidad_and_Tobago,KR046234.1_Trinidad_and_Tobago,KR046234.1,Trinidad_and_Tobago,Homo_sapiens,2014
KR264949.1_Puerto_Rico,KR264949.1_Puerto_Rico,KR264949.1,Puerto_Rico,Homo_sapiens,2014
KR264950.1_Puerto_Rico,KR264950.1_Puerto_Rico,KR264950.1,Puerto_Rico,Homo_sapiens,2014
