Accession,IDs,Country,Host,Year
DQ443544.1_Reunion,DQ443544.1,Reunion,Homo_sapiens,2006
EF012359.1_Mauritius,EF012359.1,Mauritius,Unknown,2006
EF027134.1_India,EF027134.1,India,Unknown,2006
EF027135.1_India,EF027135.1,India,Unknown,2006
EF027136.1_India,EF027136.1,India,Unknown,2006
EF027137.1_India,EF027137.1,India,Unknown,2006
EF027138.1_India,EF027138.1,India,Unknown,2006
EF210157.1_India,EF210157.1,India,Homo_sapiens,2006
EU037962.1_Mauritius,EU037962.1,Mauritius,Unknown,2006
EU244823.1_Italy,EU244823.1,Italy,Unknown,2007
EU372006.1_India,EU372006.1,India,Homo_sapiens,2007
EU564334.1_Mauritius,EU564334.1,Mauritius,Homo_sapiens,2006
EU564335.1_India,EU564335.1,India,Homo_sapiens,2006
FJ000062.1_India,FJ000062.1,India,Homo_sapiens,2006
FJ000063.1_India,FJ000063.1,India,Homo_sapiens,2006
FJ000064.1_India,FJ000064.1,India,Homo_sapiens,2006
FJ000065.1_India,FJ000065.1,India,Homo_sapiens,2006
FJ000066.1_India,FJ000066.1,India,Homo_sapiens,2006
FJ000067.1_India,FJ000067.1,India,Homo_sapiens,2006
FJ000068.1_India,FJ000068.1,India,Homo_sapiens,2006
FJ000069.1_India,FJ000069.1,India,Homo_sapiens,2007
FJ445426.1_Sri_Lanka,FJ445426.1,Sri_Lanka,Homo_sapiens,2008
FJ445427.1_Sri_Lanka,FJ445427.1,Sri_Lanka,Homo_sapiens,2007
FJ445428.1_Sri_Lanka,FJ445428.1,Sri_Lanka,Homo_sapiens,2007
FJ445430.1_Singapore,FJ445430.1,Singapore,Homo_sapiens,2008
FJ445431.1_Singapore,FJ445431.1,Singapore,Homo_sapiens,2008
FJ445432.1_Singapore,FJ445432.1,Singapore,Homo_sapiens,2008
FJ445433.1_Singapore,FJ445433.1,Singapore,Homo_sapiens,2008
FJ445443.1_Singapore,FJ445443.1,Singapore,Homo_sapiens,2008
FJ445445.1_Singapore,FJ445445.1,Singapore,Homo_sapiens,2008
FJ445463.1_Singapore,FJ445463.1,Singapore,Homo_sapiens,2008
FJ445484.1_Singapore,FJ445484.1,Singapore,Homo_sapiens,2008
FJ445502.1_Singapore,FJ445502.1,Singapore,Homo_sapiens,2008
FJ445510.1_Singapore,FJ445510.1,Singapore,Homo_sapiens,2008
FJ445511.1_Singapore,FJ445511.1,Singapore,Homo_sapiens,2008
FJ513628.1_Sri_Lanka,FJ513628.1,Sri_Lanka,Homo_sapiens,2008
FJ513629.1_Sri_Lanka,FJ513629.1,Sri_Lanka,Homo_sapiens,2008
FJ513632.1_Sri_Lanka,FJ513632.1,Sri_Lanka,Homo_sapiens,2008
FJ513635.1_Sri_Lanka,FJ513635.1,Sri_Lanka,Homo_sapiens,2008
FJ513637.1_Sri_Lanka,FJ513637.1,Sri_Lanka,Homo_sapiens,2008
FJ513645.1_Sri_Lanka,FJ513645.1,Sri_Lanka,Homo_sapiens,2008
FJ513654.1_Sri_Lanka,FJ513654.1,Sri_Lanka,Homo_sapiens,2008
FJ513657.1_Sri_Lanka,FJ513657.1,Sri_Lanka,Homo_sapiens,2008
FJ513673.1_Sri_Lanka,FJ513673.1,Sri_Lanka,Homo_sapiens,2008
FJ513675.1_Sri_Lanka,FJ513675.1,Sri_Lanka,Homo_sapiens,2008
FJ513679.1_Sri_Lanka,FJ513679.1,Sri_Lanka,Homo_sapiens,2008
FJ807896.1_Singapore,FJ807896.1,Singapore,Homo_sapiens,2006
FJ807898.1_Bangladesh,FJ807898.1,Bangladesh,Homo_sapiens,2008
FJ807899.1_Malaysia,FJ807899.1,Malaysia,Homo_sapiens,2008
GQ428210.1_India,GQ428210.1,India,Homo_sapiens,2006
GQ428211.1_India,GQ428211.1,India,Homo_sapiens,2006
GQ428212.1_India,GQ428212.1,India,Homo_sapiens,2007
GQ428213.1_India,GQ428213.1,India,Homo_sapiens,2007
GQ428214.1_India,GQ428214.1,India,Homo_sapiens,2008
GQ428215.1_India,GQ428215.1,India,Homo_sapiens,2008
GU013528.1_Sri_Lanka,GU013528.1,Sri_Lanka,Homo_sapiens,2008
GU013529.1_Sri_Lanka,GU013529.1,Sri_Lanka,Homo_sapiens,2008
GU013530.1_Sri_Lanka,GU013530.1,Sri_Lanka,Homo_sapiens,2008
GU189061.1_Sri_Lanka,GU189061.1,Sri_Lanka,Homo_sapiens,2006
GU199350.1_China,GU199350.1,China,Homo_sapiens,2008
GU199351.1_China,GU199351.1,China,Homo_sapiens,2008
GU199352.1_China,GU199352.1,China,Homo_sapiens,2008
GU199353.1_China,GU199353.1,China,Homo_sapiens,2008
GU301779.1_Thailand,GU301779.1,Thailand,Homo_sapiens,2009
GU301780.1_Thailand,GU301780.1,Thailand,Homo_sapiens,2008
GU301781.1_Thailand,GU301781.1,Thailand,Homo_sapiens,2009
GU908223.1_Thailand,GU908223.1,Thailand,Aedes_albopictus,2009
HM045794.1_USA,HM045794.1,USA,Homo_sapiens,2006
HM045799.1_Sri_Lanka,HM045799.1,Sri_Lanka,Homo_sapiens,2007
HM045801.1_Sri_Lanka,HM045801.1,Sri_Lanka,Homo_sapiens,2007
HQ846356.1_China,HQ846356.1,China,Homo_sapiens,2010
HQ846357.1_China,HQ846357.1,China,Homo_sapiens,2010
HQ846358.1_China,HQ846358.1,China,Homo_sapiens,2010
HQ846359.1_China,HQ846359.1,China,Homo_sapiens,2010
JF274082.1_India,JF274082.1,India,Homo_sapiens,2006
JN558834.1_India,JN558834.1,India,Homo_sapiens,2009
JN558835.1_India,JN558835.1,India,Homo_sapiens,2008
JN558836.1_India,JN558836.1,India,Homo_sapiens,2009
JQ065890.1_China,JQ065890.1,China,Homo_sapiens,2010
JQ065891.1_China,JQ065891.1,China,Homo_sapiens,2010
JQ065892.1_China,JQ065892.1,China,Homo_sapiens,2010
JQ861253.1_Cambodia,JQ861253.1,Cambodia,Homo_sapiens,2011
JQ861254.1_Cambodia,JQ861254.1,Cambodia,Homo_sapiens,2011
JQ861255.1_Cambodia,JQ861255.1,Cambodia,Homo_sapiens,2011
JQ861256.1_Cambodia,JQ861256.1,Cambodia,Homo_sapiens,2011
JQ861257.1_Cambodia,JQ861257.1,Cambodia,Homo_sapiens,2011
JQ861258.1_Cambodia,JQ861258.1,Cambodia,Homo_sapiens,2011
JQ861259.1_Cambodia,JQ861259.1,Cambodia,Homo_sapiens,2011
JQ861260.1_Cambodia,JQ861260.1,Cambodia,Homo_sapiens,2011
JX088705.1_China,JX088705.1,China,Homo_sapiens,2010
KC614648.1_Yemen,KC614648.1,Yemen,Aedes_aegypti,2011
KC862329.1_Indonesia,KC862329.1,Indonesia,Homo_sapiens,2010
KF151174.1_Myanmar,KF151174.1,Myanmar,Homo_sapiens,2009
KF151175.1_Myanmar,KF151175.1,Myanmar,Homo_sapiens,2009
